"MainID","TaxonID","DataSourceID","BiotopeID","LocationID","TaxonName","CommonName","Reliability","SamplingInterval","datasetlength","ndatapoints","uniquevals","zerorun","zeros","propzeros","missingvals","propmissing","TaxonomicPhylum","TaxonomicClass","TaxonomicOrder","TaxonomicFamily","TaxonomicGenus","TaxonomicClass2","TaxonomicLevel","Mass_g","Length_mm","MinAge_mo","Lifespan_mo","Fertility","TrL","timescale_MinAge","timescale_Lifespan","timestep_MinAge","timestep_Lifespan","ExactName","Country","Continent","LongDD","LatDD","SpatialAccuracy","LocationExtent","SamplingUnits","SourceTransform","Notes","data_rescale_case","monotonicR2"
1,1,1,1,1,"Bonasa bonasia","Hazel grouse",4,"annual",30,30,22,1,1,0.0333333333333333,0,0,"Chordata","Aves","Galliformes","Tetraonidae","Bonasa ","Aves","Species",429,375,10,60,8,3,36,6,1.2,0.2,"Pechoro-Ilych Reserve","Russian Federation","Europe",57,62,3,1,"All Individuals","None","Source dominated landscape.",2,0.0160254616314163
56,9,13,11,18,"Haematopus ostralegus","Eurasian oystercatcher",4,"annual",52,47,18,0,0,0,5,0.0961538461538461,"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus ","Aves","Species",526,440,36,240,3,5,17.3333333333333,2.6,0.333333333333333,0.05,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.291481061530427
57,61,13,11,18,"Anthus pratensis","Meadow pipit",4,"annual",52,47,20,0,0,0,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Motacillidae","Anthus ","Aves","Species",18,145,12,84,8,4,52,7.42857142857143,1,0.142857142857143,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,8.51583278628927e-05
58,62,13,11,18,"Oenanthe oenanthe","Wheatear",4,"annual",52,47,21,0,0,0,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Muscicapidae","Oenanthe ","Aves","Species",23,150,12,84,12,4,52,7.42857142857143,1,0.142857142857143,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.0397819911115928
59,63,13,11,18,"Alauda arvensis","Skylark",4,"annual",52,47,23,0,0,0,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Alaudidae","Alauda ","Aves","Species",40,180,12,120,15,4,52,5.2,1,0.1,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.776770713214827
60,64,13,11,18,"Sturnus vulgaris","Starling",4,"annual",52,47,22,12,12,0.25531914893617,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Sturnidae","Sturnus ","Aves","Species",82,220,10,84,12,4,62.4,7.42857142857143,1.2,0.142857142857143,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",2,0.871565421216454
61,65,13,11,18,"Vanellus vanellus","Lapwing",4,"annual",52,47,21,1,1,0.0212765957446809,5,0.0961538461538461,"Chordata","Aves","Charadriiformes","Charadriidae","Vanellus ","Aves","Species",219,300,12,216,4,5,52,2.88888888888889,1,0.0555555555555556,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",2,0.0148646008961611
64,68,13,11,18,"Corvus corone","Carrion crow",4,"annual",52,47,9,0,0,0,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Corvidae","Corvus ","Aves","Species",570,435,24,180,5,4,26,3.46666666666667,0.5,0.0666666666666667,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.216196030817794
65,69,13,11,18,"Prunella modularis","Hedge sparrow or Dunnock",4,"annual",52,47,10,18,18,0.382978723404255,5,0.0961538461538461,"Chordata","Aves","Passeriformes","Prunellidae","Prunella ","Aves","Species",19.7,140,12,72,10,4,52,8.66666666666667,1,0.166666666666667,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",2,0.00828457023132868
1150,162,17,17,94,"Coccyzus americanus","Yellow billed cuckoo",4,"annual",50,44,7,2,3,0.0681818181818182,6,0.12,"Chordata","Aves","Cuculiformes","Cuculidae","Coccyzus ","Aves","Species",64,265,6,81,5,5,100,7.40740740740741,2,0.148148148148148,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",2,0.185520716829298
1153,165,17,17,94,"Colaptes auratus","Common flicker",4,"annual",50,44,13,3,6,0.136363636363636,6,0.12,"Chordata","Aves","Piciformes","Picidae","Colaptes ","Aves","Species",132,320,10,84,12,4,60,7.14285714285714,1.2,0.142857142857143,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",2,0.698583685809432
1154,166,17,17,94,"Melanerpes carolinus","Red-bellied woodpecker",4,"annual",50,43,6,1,3,0.0697674418604651,7,0.14,"Chordata","Aves","Piciformes","Picidae","Melanerpes ","Aves","Species",62,240,10,96,10,4,60,6.25,1.2,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",2,0.355811570566827
1155,167,17,17,94,"Melanerpes erythrocephalus","Red-headed woodpecker",4,"annual",50,44,19,5,9,0.204545454545455,6,0.12,"Chordata","Aves","Piciformes","Picidae","Melanerpes ","Aves","Species",71.6,240,12,96,10,4,50,6.25,1,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",2,0.434227194571149
1157,169,17,17,94,"Picoides pubescens","Downy woodpecker",4,"annual",50,44,9,0,0,0,6,0.12,"Chordata","Aves","Piciformes","Picidae","Picoides ","Aves","Species",27,170,10,96,10,4,60,6.25,1.2,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",1,0.0012743821142748
1158,170,17,17,94,"Myiarchus crinitus","Great crested flycatcher",4,"annual",50,43,9,0,0,0,7,0.14,"Chordata","Aves","Passeriformes","Tyrannidae","Myiarchus ","Aves","Species",33.5,200,12,108,8,5,50,5.55555555555556,1,0.111111111111111,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",1,0.104004022906183
1159,171,17,17,94,"Contopus virens","Eastern wood-pewee",4,"annual",50,44,16,0,0,0,6,0.12,"Chordata","Aves","Passeriformes","Tyrannidae","Contopus ","Aves","Species",14,160,12,60,6,5,50,10,1,0.2,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",1,0.0836705425779882
1161,173,17,17,94,"Corvus brachyrhynchos.","Common crow or American crow",4,"annual",50,44,10,0,0,0,6,0.12,"Chordata","Aves","Passeriformes","Corvidae","Corvus ","Aves","Species",448,450,24,180,5,4,25,3.33333333333333,0.5,0.0666666666666667,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",1,0.557705670417453
1162,174,17,17,94,"Parus bicolor","Tufted titmouse",4,"annual",39,33,8,1,1,0.0303030303030303,6,0.153846153846154,"Chordata","Aves","Passeriformes","Paridae","Parus ","Aves","Species",21.6,135,12,72,10,3,39,6.5,1,0.166666666666667,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",3,0.265874965532267
1163,175,17,17,94,"Troglodytes aedon","House wren",4,"annual",50,44,28,1,2,0.0454545454545455,6,0.12,"Chordata","Aves","Passeriformes","Certhiidae","Troglodytes ","Aves","Species",10.9,120,10,84,12,4,60,7.14285714285714,1.2,0.142857142857143,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",2,0.0664756230826711
1166,64,17,17,94,"Sturnus vulgaris","Starling",4,"annual",43,41,27,0,0,0,2,0.0465116279069767,"Chordata","Aves","Passeriformes","Sturnidae","Sturnus ","Aves","Species",82,220,10,84,12,4,51.6,6.14285714285714,1.2,0.142857142857143,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",1,0.606796093365109
1169,183,17,17,94,"Cardinalis cardinalis","Cardinal",4,"annual",50,44,8,0,0,0,6,0.12,"Chordata","Aves","Passeriformes","Fringillidae","Cardinalis ","Aves","Species",45,220,12,96,7,4,50,6.25,1,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",1,0.376524392552562
1170,184,17,17,94,"Passerina cyanea","Indigo bunting",4,"annual",50,44,22,1,1,0.0227272727272727,6,0.12,"Chordata","Aves","Passeriformes","Fringillidae","Passerina ","Aves","Species",14.5,140,12,96,5,3,50,6.25,1,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"Male territories or breeding pairs","None","Breeding population",2,0.125806225985738
1173,187,17,17,94,"Phasianus colchicus","Ring-necked pheasant",4,"annual",30,30,15,1,2,0.0666666666666667,0,0,"Chordata","Aves","Galliformes","Phasianidae","Phasianus ","Aves","Species",1135,700,10,96,12,4,36,3.75,1.2,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.126414891687295
1176,166,17,17,94,"Melanerpes carolinus","Red-bellied woodpecker",4,"annual",53,48,9,3,3,0.0625,5,0.0943396226415094,"Chordata","Aves","Piciformes","Picidae","Melanerpes ","Aves","Species",62,240,10,96,10,4,63.6,6.625,1.2,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",2,0.280318792187053
1178,168,17,17,94,"Picoides villosus","Hairy woodpecker",4,"annual",53,48,6,3,4,0.0833333333333333,5,0.0943396226415094,"Chordata","Aves","Piciformes","Picidae","Picoides ","Aves","Species",66,240,12,84,8,4,53,7.57142857142857,1,0.142857142857143,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.00441733399420703
1179,169,17,17,94,"Picoides pubescens","Downy woodpecker",4,"annual",53,48,14,0,0,0,5,0.0943396226415094,"Chordata","Aves","Piciformes","Picidae","Picoides ","Aves","Species",27,170,10,96,10,4,63.6,6.625,1.2,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",1,0.00105062332839681
1180,172,17,17,94,"Cyanocitta cristata","Blue jay",4,"annual",53,47,12,2,5,0.106382978723404,6,0.113207547169811,"Chordata","Aves","Passeriformes","Corvidae","Cyanocitta ","Aves","Species",86.8,280,12,108,8,4,53,5.88888888888889,1,0.111111111111111,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.270274036079345
1181,173,17,17,94,"Corvus brachyrhynchos.","Common crow or American crow",4,"annual",53,48,19,1,2,0.0416666666666667,5,0.0943396226415094,"Chordata","Aves","Passeriformes","Corvidae","Corvus ","Aves","Species",448,450,24,180,5,4,26.5,3.53333333333333,0.5,0.0666666666666667,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.277844803542905
1182,174,17,17,94,"Parus bicolor","Tufted titmouse",4,"annual",46,41,14,2,3,0.0731707317073171,5,0.108695652173913,"Chordata","Aves","Passeriformes","Paridae","Parus ","Aves","Species",21.6,135,12,72,10,3,46,7.66666666666667,1,0.166666666666667,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.461337641942303
1183,188,17,17,94,"Sitta carolinensis","White-breasted nuthatch",4,"annual",53,48,6,2,6,0.125,5,0.0943396226415094,"Chordata","Aves","Passeriformes","Sittidae","Sitta ","Aves","Species",21,150,12,72,10,5,53,8.83333333333333,1,0.166666666666667,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.0887886688746388
1184,189,17,17,94,"Certhia americana","Brown creeper",4,"annual",51,47,9,3,4,0.0851063829787234,4,0.0784313725490197,"Chordata","Aves","Passeriformes","Certhiidae","Certhia ","Aves","Species",8.4,130,10,72,7,5,61.2,8.5,1.2,0.166666666666667,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.0291227580367518
1187,183,17,17,94,"Cardinalis cardinalis","Cardinal",4,"annual",53,48,10,0,0,0,5,0.0943396226415094,"Chordata","Aves","Passeriformes","Fringillidae","Cardinalis ","Aves","Species",45,220,12,96,7,4,53,6.625,1,0.125,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",1,0.213343085374882
1188,151,17,17,94,"Junco hyemalis","Dark-eyed junco",4,"annual",53,48,26,2,7,0.145833333333333,5,0.0943396226415094,"Chordata","Aves","Passeriformes","Fringillidae","Junco ","Aves","Species",20,160,12,120,8,4,53,5.3,1,0.1,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.0300618417514953
1189,190,17,17,94,"Spizella arborea","American tree sparrow",4,"annual",53,48,26,3,4,0.0833333333333333,5,0.0943396226415094,"Chordata","Aves","Passeriformes","Fringillidae","Spizella ","Aves","Species",20,160,10,60,6,4,63.6,10.6,1.2,0.2,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",2,0.00406912309195042
1211,191,17,17,94,"Melospiza melodia","Song sparrow",4,"annual",30,30,8,1,3,0.1,0,0,"Chordata","Aves","Passeriformes","Fringillidae","Melospiza ","Aves","Species",21,180,12,120,8,5,30,3,1,0.1,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",2,0.012575963855163
1213,165,17,17,94,"Colaptes auratus","Common flicker",4,"annual",53,48,11,5,8,0.166666666666667,5,0.0943396226415094,"Chordata","Aves","Piciformes","Picidae","Colaptes ","Aves","Species",132,320,10,84,12,4,63.6,7.57142857142857,1.2,0.142857142857143,"William Trelease Woods","USA","North America",-88.3,40.1333333333333,4,3,"All Individuals","None","Wintering population",3,0.307489841015821
1347,412,34,81,140,"Grus americana","Whooping crane",4,"annual",48,48,30,0,0,0,0,0,"Chordata","Aves","Gaviiformes","Gruidae","Grus ","Aves","Species",5826,1450,48,264,2,4,12,2.18181818181818,0.25,0.0454545454545455,"Aransas","USA","North America",-97,27.8333333333333,2,2,"Adults","None","Aransas is the winter refuge for the endangered whooping cranes that spend the breeding season in NW Canada.",1,0.926855193234177
1869,10225,301,280,10269,"Oncorhynchus gorbuscha","Pink salmon",2,"annual",44,44,43,0,0,0,0,0,"Chordata","Osteichthyes","Salmoniformes","Salmonidae","Oncorhynchus ","Osteichthyes","Species",1000,400,18,48,1500,5,29.3333333333333,11,0.666666666666667,0.25,"Kodiak Archipelago","USA","North America",-153.333333333333,57.3333333333333,3,1,"All Individuals","x 10^n","Donnelly, R.F. 1983. Factors Affecting the Abundance of Kodiak Archipelago Pink Salmon ( Oncorhynchus gorbuscha, Walbaum). Ph.D. thesis. University of Washington, Seattle, WA. 157 p. Table 2.1,  updated with info from D.E. Rogers, Fisheries Research inst, Univ of Washington , compiled from Alaska Fish and Game Reports",1,0.102719743604885
2721,416,59,23,81,"Lepus americanus","Snowshoe hare or American varying hare",2,"annual",57,57,42,0,0,0,0,0,"Chordata","Mammalia","Lagomorpha","Leporidae","Lepus ","Mammalia","Species",2000,450,12,60,16,3,57,11.4,1,0.2,"USA","USA","North America",-95,40,4,1,"All Individuals","None","None",1,0.0303757822802361
2722,75,59,23,81,"Lynx canadensis","Canadian lynx",2,"annual",57,57,32,0,0,0,0,0,"Chordata","Mammalia","Carnivora","Felidae","Lynx ","Mammalia","Species",9900,870,10,180,3,5,68.4,3.8,1.2,0.0666666666666667,"USA","USA","North America",-95,40,4,1,"All Individuals","None","None",1,0.0255141975743469
2726,733,55,53,56,"Colinus virginianus","Northern bobwhite or Bobwhite quail",3,"annual",46,46,25,0,0,0,0,0,"Chordata","Aves","Galliformes","Tetraonidae","Colinus ","Aves","Species",178,200,10,60,12,4,55.2,9.2,1.2,0.2,"Nebraska","USA","North America",-110,42,4,1,"All Individuals","None","Rural mail carriers have recorded the number of upland species they observe and the number of miles they drive during several four-day periods each year. Summer survey, carried out at the same time each year.",1,0.0835845166619299
2759,739,64,84,364,"Oncorhynchus nerka","Sockeye salmon",2,"annual",57,57,35,0,0,0,0,0,"Chordata","Osteichthyes","Salmoniformes","Salmonidae","Oncorhynchus ","Osteichthyes","Species",1400,500,24,84,3000,5,28.5,8.14285714285714,0.5,0.142857142857143,"Skeena River","Canada","North America",-129.333333333333,54.5,3,1,"All Individuals","None","None",1,0.220371096230251
2770,224,63,83,363,"Phylloscopus collybita","Chiffchaff",4,"annual",33,33,13,0,0,0,0,0,"Chordata","Aves","Passeriformes","Sylviidae","Phylloscopus ","Aves","Species",8,100,10,84,5,4,39.6,4.71428571428571,1.2,0.142857142857143,"Wood around Kitesnest Farm, near Highnam, west of Gloucester","UK - England","Europe",-2.33333333333333,51.8333333333333,4,3,"All Individuals","None","None",1,0.17115901720882
2771,223,63,83,363,"Phylloscopus trochilus","Willow warbler",4,"annual",33,33,15,0,0,0,0,0,"Chordata","Aves","Passeriformes","Sylviidae","Phylloscopus ","Aves","Species",9,90,10,84,12,4,39.6,4.71428571428571,1.2,0.142857142857143,"Wood around Kitesnest Farm, near Highnam, west of Gloucester","UK - England","Europe",-2.33333333333333,51.8333333333333,4,3,"All Individuals","None","None",1,0.636808343968525
2772,218,63,83,363,"Luscinia megahrynchos","Nightingale",4,"annual",34,34,14,0,0,0,0,0,"Chordata","Aves","Passeriformes","Muscicapidae","Luscinia ","Aves","Species",18.3,160,12,96,5,4,34,4.25,1,0.125,"Wood around Kitesnest Farm, near Highnam, west of Gloucester","UK - England","Europe",-2.33333333333333,51.8333333333333,4,3,"All Individuals","None","None",1,0.306056653040694
2773,9,62,11,18,"Haematopus ostralegus","Eurasian oystercatcher",4,"annual",40,32,14,0,0,0,8,0.2,"Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus ","Aves","Species",526,440,36,240,3,5,13.3333333333333,2,0.333333333333333,0.05,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.236761732022779
2775,63,62,11,18,"Alauda arvensis","Skylark",4,"annual",40,33,19,1,1,0.0303030303030303,7,0.175,"Chordata","Aves","Passeriformes","Alaudidae","Alauda ","Aves","Species",40,180,12,120,15,4,40,4,1,0.1,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","0.5 was used when the figure was estimated as between two figures. Eg. 17.5 means 17-18 pairs.",3,0.777992796180182
2777,68,62,11,18,"Corvus corone","Carrion crow",4,"annual",40,32,8,0,0,0,8,0.2,"Chordata","Aves","Passeriformes","Corvidae","Corvus ","Aves","Species",570,435,24,180,5,4,20,2.66666666666667,0.5,0.0666666666666667,"Skokholm Island","UK - Wales","Europe",-5.15,51.7,3,3,"Pairs","None","None",1,0.0494408739152983
5019,790,80,101,414,"Macaca sylvanus","Barbary macaque",5,"annual",46,46,25,0,0,0,0,0,"Chordata","Mammalia","Primates","Cercopithecidae","Macaca ","Mammalia","Species",11200,600,30,240,0.5,4,18.4,2.3,0.4,0.05,"Queens Gate","Gibraltar","Europe",-5.35,36.15,4,2,"All Individuals","Log","None",1,0.0512421663159349
5020,790,80,101,415,"Macaca sylvanus","Barbary macaque",5,"annual",36,34,19,0,0,0,2,0.0555555555555556,"Chordata","Mammalia","Primates","Cercopithecidae","Macaca ","Mammalia","Species",11200,600,30,240,0.5,4,14.4,1.8,0.4,0.05,"Middle Hill","Gibraltar","Europe",-5.33333333333333,36.1666666666667,4,4,"All Individuals","Log","None",1,0.265271682283693
5021,793,82,102,416,"Asterionella formosa","Pennate diatom",3,"annual",45,43,27,0,0,0,2,0.0444444444444444,"Chromophyta (Heterokontophyta)","Bacillariophyceae","Pennales","Unknown","Asterionella ","Bacillariophyceae","Species",5e-09,0.1,0.03,0.03,NA,1,18000,18000,400,400,"Lake Windermere, South Basin","UK - England","Europe",-2.91666666666667,54.3333333333333,4,3,"Cells","None","Cell concentration (cell m^-1).",1,0.429257648149097
5037,760,78,41,374,"Falco sparverius","American hawk",3,"annual",48,46,16,3,17,0.369565217391304,2,0.0416666666666666,"Chordata","Aves","Falconiformes","Falconidae","Falco ","Aves","Species",116,270,18,120,5,5,32,4.8,0.666666666666667,0.1,"Central Illinois","USA","North America",-89,40,2,1,"All Individuals","None","None",3,0.0438172836339085
5039,186,78,41,374,"Buteo jamaicensis","Red-tailed hawk",3,"annual",50,49,27,1,5,0.102040816326531,1,0.02,"Chordata","Aves","Falconiformes","Accipitridae","Buteo ","Aves","Species",1362,550,24,192,3,5,25,3.125,0.5,0.0625,"Central Illinois","USA","North America",-89,40,2,1,"All Individuals","None","None",3,0.0738224592796032
6633,11116,423,81,10525,"Rissa tridactyla","Kittiwake",4,"annual",36,36,33,0,0,0,0,0,"Chordata","Aves","Charadriiformes","Stercorariidae","Rissa ","Aves","Species",407,390,12,240,2,5,36,1.8,1,0.05,"North Shields","UK - England","Europe",-1.6,54.8166666666667,4,2,"Breeding individuals","None","None",1,0.560831580635385
6635,30,431,13,10534,"Somateria mollissima","Common eider",3,"monthly",121,110,46,0,0,0,11,0.0909090909090909,"Chordata","Aves","Anseriformes","Anatidae","Somateria ","Aves","Species",2067,605,12,180,5,4,10.0833333333333,0.672222222222222,0.0833333333333333,0.00555555555555556,"Ythan Valley","UK - Scotland","Europe",-2.33333333333333,57.5,4,1,"All Individuals","None","Monthy counts.",1,0.0403101897810089
5040,761,78,41,374,"Circus cyaneus","Marsh hawk or Hen harrier",3,"annual",51,50,19,7,25,0.5,1,0.0196078431372549,"Chordata","Aves","Falconiformes","Accipitridae","Circus ","Aves","Species",435,500,24,144,3,5,25.5,4.25,0.5,0.0833333333333333,"Central Illinois","USA","North America",-89,40,2,1,"All Individuals","None","None",3,0.152923488225813
5043,762,78,41,374,"Buteo lineatus","Red-shouldered hawk or Buzzard",3,"annual",49,46,12,11,27,0.58695652173913,3,0.0612244897959183,"Chordata","Aves","Falconiformes","Accipitridae","Buteo ","Aves","Species",559,420,24,144,3,5,24.5,4.08333333333333,0.5,0.0833333333333333,"Central Illinois","USA","North America",-89,40,2,1,"All Individuals","None","None",3,0.0223527062660985
5044,763,78,41,374,"Buteo lagopus","Rough-legged hawk (buzzard)",3,"annual",49,48,21,7,15,0.3125,1,0.0204081632653061,"Chordata","Aves","Falconiformes","Accipitridae","Buteo ","Aves","Species",956,560,24,216,5,5,24.5,2.72222222222222,0.5,0.0555555555555556,"Central Illinois","USA","North America",-89,40,2,1,"All Individuals","None","None",3,0.19166221518657
6104,10666,304,280,1024,"Chaetoceras ","Diatom",4,"monthly",168,168,168,0,0,0,0,0,"Chromophyta (Heterokontophyta)","Bacillariophyceae","Centrales","Unknown","Chaetoceras ","Bacillariophyceae","Genus",2.674e-08,0.0371,0.02449,0.02449,NA,1,6859.94283380972,6859.94283380972,40.8329930583912,40.8329930583912,"Port Erin Bay","UK - England","Europe",-4.75,54.0666666666667,4,2,"All Individuals","None","Two hauls made every week. The results were summed for each month and the totals divided by the number of hauls per month, thus the data represents the average number of individual organisms, per month present in the results of a haul.",1,0.0195381557511266
6105,10667,304,280,1024,"Chaetoceras decipiens","Diatom",4,"monthly",168,168,162,1,4,0.0238095238095238,0,0,"Chromophyta (Heterokontophyta)","Bacillariophyceae","Centrales","Unknown","Chaetoceras ","Bacillariophyceae","Species",2.631e-08,0.0369,0.03097,0.03097,NA,1,5424.60445592509,5424.60445592509,32.2893122376493,32.2893122376493,"Port Erin Bay","UK - England","Europe",-4.75,54.0666666666667,4,2,"All Individuals","None","Two hauls made every week. The results were summed for each month and the totals divided by the number of hauls per month, thus the data represents the average number of individual organisms, per month present in the results of a haul.",2,0.0377222711013115
6106,10668,304,280,1024,"Chaetoceras debile","Diatom",4,"monthly",168,168,150,2,17,0.101190476190476,0,0,"Chromophyta (Heterokontophyta)","Bacillariophyceae","Centrales","Unknown","Chaetoceras ","Bacillariophyceae","Species",1.56e-08,0.031,0.0203,0.0203,NA,1,8275.86206896552,8275.86206896552,49.2610837438424,49.2610837438424,"Port Erin Bay","UK - England","Europe",-4.75,54.0666666666667,4,2,"All Individuals","None","Two hauls made every week. The results were summed for each month and the totals divided by the number of hauls per month, thus the data represents the average number of individual organisms, per month present in the results of a haul.",2,0.0228003178721702
6107,10669,304,280,1024,"Chaetoceras teres","Diatom",4,"monthly",168,168,133,4,36,0.214285714285714,0,0,"Chromophyta (Heterokontophyta)","Bacillariophyceae","Centrales","Unknown","Chaetoceras ","Bacillariophyceae","Species",4.28e-08,0.0434,0.0222,0.0222,NA,1,7567.56756756757,7567.56756756757,45.045045045045,45.045045045045,"Port Erin Bay","UK - England","Europe",-4.75,54.0666666666667,4,2,"All Individuals","None","Two hauls made every week. The results were summed for each month and the totals divided by the number of hauls per month, thus the data represents the average number of individual organisms, per month present in the results of a haul.",2,0.00211588551166477
