"ID","Model","Classification","NoiseLevel","TSlength","Sim.1","Sim.2","Sim.3","Sim.4","Sim.5","Sim.6","Sim.7","Sim.8","Sim.9","Sim.10","Sim.11","Sim.12","Sim.13","Sim.14","Sim.15","Sim.16","Sim.17","Sim.18","Sim.19","Sim.20"
1,"AR1Stochastic","stochastic",0,25,1,1,1,1,1,2,1,1,4,1,1,1,1,4,1,1,5,1,1,2
2,"AR1Stochastic","stochastic",0.1,25,1,3,1,5,3,1,1,2,1,3,2,5,3,1,1,3,4,1,1,1
3,"AR1Stochastic","stochastic",0.2,25,2,1,1,4,4,1,3,5,1,1,3,2,2,3,1,2,1,5,1,1
4,"AR1Stochastic","stochastic",0.3,25,1,1,1,2,2,5,3,1,1,1,1,3,1,1,1,1,1,1,1,5
5,"AR1Stochastic","stochastic",0,50,4,1,3,1,1,4,1,6,1,1,1,1,1,1,1,1,2,1,1,1
6,"AR1Stochastic","stochastic",0.1,50,1,1,1,1,1,3,1,1,5,1,1,3,2,1,4,1,1,3,1,2
7,"AR1Stochastic","stochastic",0.2,50,1,1,6,2,1,4,2,1,3,1,1,5,1,4,1,1,1,1,4,1
8,"AR1Stochastic","stochastic",0.3,50,2,3,1,1,1,4,1,1,1,3,4,1,1,1,3,1,6,1,1,1
9,"AR1Stochastic","stochastic",0,75,1,1,2,2,1,1,5,1,2,1,2,1,1,1,1,3,1,1,1,1
10,"AR1Stochastic","stochastic",0.1,75,3,3,4,1,2,1,6,1,5,6,2,1,1,2,5,3,2,1,1,1
11,"AR1Stochastic","stochastic",0.2,75,5,1,5,1,5,1,1,1,1,3,4,1,1,3,1,2,1,1,2,1
12,"AR1Stochastic","stochastic",0.3,75,1,4,3,1,2,4,1,1,6,2,2,4,1,5,1,1,1,1,1,5
13,"AR1Stochastic","stochastic",0,100,1,1,1,1,1,1,2,1,1,4,1,2,1,2,2,1,1,1,1,1
14,"AR1Stochastic","stochastic",0.1,100,2,1,1,1,1,3,1,1,1,1,4,1,2,1,1,1,1,1,1,1
15,"AR1Stochastic","stochastic",0.2,100,3,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,2,1
16,"AR1Stochastic","stochastic",0.3,100,1,1,5,2,1,2,3,2,1,3,1,1,3,1,1,1,1,3,4,1
17,"AR1Stochastic","stochastic",0,250,6,4,3,2,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,1
18,"AR1Stochastic","stochastic",0.1,250,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,3,1,1,1,1
19,"AR1Stochastic","stochastic",0.2,250,1,1,1,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1
20,"AR1Stochastic","stochastic",0.3,250,2,1,1,3,1,3,1,2,1,1,1,2,1,1,1,4,1,2,5,1
21,"BlueNoiseStochastic","stochastic",0,25,1,5,1,3,3,5,1,2,1,5,1,5,3,2,3,1,1,3,1,1
22,"BlueNoiseStochastic","stochastic",0.1,25,4,1,4,1,1,4,3,2,2,2,2,3,1,2,2,2,1,4,1,3
23,"BlueNoiseStochastic","stochastic",0.2,25,1,2,2,1,1,1,1,1,2,1,4,1,1,1,1,4,4,1,1,4
24,"BlueNoiseStochastic","stochastic",0.3,25,1,1,1,1,2,1,1,1,3,2,4,2,1,3,4,1,1,3,1,1
25,"BlueNoiseStochastic","stochastic",0,50,3,2,5,1,5,1,3,1,6,3,3,2,2,2,3,1,2,3,4,2
26,"BlueNoiseStochastic","stochastic",0.1,50,1,6,3,2,4,2,1,5,1,2,2,4,2,2,2,4,1,2,1,4
27,"BlueNoiseStochastic","stochastic",0.2,50,3,1,5,2,2,1,3,3,3,2,2,4,5,2,1,2,3,5,2,1
28,"BlueNoiseStochastic","stochastic",0.3,50,1,2,3,2,2,6,2,6,3,5,1,3,1,3,2,1,1,2,2,4
29,"BlueNoiseStochastic","stochastic",0,75,3,2,3,6,3,4,4,3,1,1,5,2,2,4,1,4,3,2,3,1
30,"BlueNoiseStochastic","stochastic",0.1,75,1,1,6,3,3,5,1,1,2,3,3,4,2,3,6,4,2,3,2,2
31,"BlueNoiseStochastic","stochastic",0.2,75,2,5,4,2,3,2,6,2,4,2,1,2,4,1,5,3,2,4,2,2
32,"BlueNoiseStochastic","stochastic",0.3,75,1,6,5,5,1,2,2,6,5,1,4,2,4,3,6,5,4,2,2,1
33,"BlueNoiseStochastic","stochastic",0,100,4,2,2,4,2,3,3,2,2,3,4,3,3,3,2,3,3,6,5,2
34,"BlueNoiseStochastic","stochastic",0.1,100,3,4,4,6,1,1,4,3,3,4,4,3,5,3,2,3,4,4,3,1
35,"BlueNoiseStochastic","stochastic",0.2,100,6,2,6,2,4,1,4,2,3,1,5,3,5,6,6,5,6,6,3,3
36,"BlueNoiseStochastic","stochastic",0.3,100,6,6,4,6,5,2,4,2,3,2,2,4,2,6,4,5,6,4,6,5
37,"BlueNoiseStochastic","stochastic",0,250,4,2,3,3,2,5,6,6,2,4,5,5,6,3,2,4,4,6,4,6
38,"BlueNoiseStochastic","stochastic",0.1,250,4,4,6,3,3,4,6,2,3,3,6,5,5,3,3,3,5,6,4,6
39,"BlueNoiseStochastic","stochastic",0.2,250,5,6,1,5,4,4,5,6,6,4,5,6,5,6,3,4,2,5,4,3
40,"BlueNoiseStochastic","stochastic",0.3,250,6,6,3,5,6,6,6,2,6,4,6,6,6,3,3,5,6,4,3,3
41,"CubicMapChaotic","chaotic",0.01,25,1,2,5,3,2,2,2,2,3,2,1,2,2,1,1,1,2,1,3,5
42,"CubicMapChaotic","chaotic",0.1,25,3,2,2,3,1,2,2,1,1,1,2,1,2,3,1,1,3,2,2,1
43,"CubicMapChaotic","chaotic",0.2,25,4,1,2,3,1,1,3,1,3,2,2,5,2,3,2,1,3,4,1,4
44,"CubicMapChaotic","chaotic",0.3,25,2,1,1,2,3,1,2,5,1,5,2,3,1,4,1,5,3,5,2,2
45,"CubicMapChaotic","chaotic",0.01,50,2,3,3,2,3,3,2,3,3,3,3,4,3,3,3,3,4,3,3,3
46,"CubicMapChaotic","chaotic",0.1,50,3,3,3,3,3,5,3,3,2,3,3,3,2,3,5,2,3,3,2,3
47,"CubicMapChaotic","chaotic",0.2,50,4,2,3,4,4,3,2,3,3,2,3,3,3,3,2,2,3,2,2,3
48,"CubicMapChaotic","chaotic",0.3,50,4,3,3,5,3,2,3,3,3,2,1,1,2,4,3,3,3,3,2,3
49,"CubicMapChaotic","chaotic",0.01,75,3,3,3,3,3,3,3,3,2,3,3,5,3,3,3,3,4,4,3,4
50,"CubicMapChaotic","chaotic",0.1,75,3,3,3,3,3,2,3,3,3,4,3,3,3,3,4,3,2,3,3,4
51,"CubicMapChaotic","chaotic",0.2,75,3,2,3,3,4,4,3,5,3,3,4,5,3,4,3,6,6,4,3,3
52,"CubicMapChaotic","chaotic",0.3,75,4,3,2,4,2,4,4,4,5,5,4,4,4,3,5,4,6,3,3,3
53,"CubicMapChaotic","chaotic",0.01,100,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3
54,"CubicMapChaotic","chaotic",0.1,100,3,4,4,5,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3
55,"CubicMapChaotic","chaotic",0.2,100,5,5,6,4,3,3,4,3,4,4,4,5,3,6,4,3,4,4,4,4
56,"CubicMapChaotic","chaotic",0.3,100,3,4,5,3,5,5,3,4,4,4,6,3,6,3,3,4,4,4,5,4
57,"CubicMapChaotic","chaotic",0.01,250,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3
58,"CubicMapChaotic","chaotic",0.1,250,3,4,4,4,4,3,5,4,5,3,4,3,4,4,5,4,4,4,4,4
59,"CubicMapChaotic","chaotic",0.2,250,5,5,6,5,5,5,4,4,6,5,5,5,5,4,5,5,4,4,5,6
60,"CubicMapChaotic","chaotic",0.3,250,5,5,6,3,5,4,4,5,5,3,6,6,5,4,5,4,5,5,6,5
61,"CyclostationaryStochastic","stochastic",0,25,5,2,2,2,2,2,2,4,2,5,2,3,2,2,3,2,2,2,2,5
62,"CyclostationaryStochastic","stochastic",0.1,25,3,2,2,2,2,4,2,2,2,4,2,2,2,2,2,4,2,5,2,2
63,"CyclostationaryStochastic","stochastic",0.2,25,4,2,3,2,2,2,2,2,2,2,2,2,2,2,3,5,2,2,3,2
64,"CyclostationaryStochastic","stochastic",0.3,25,2,2,2,2,2,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2
65,"CyclostationaryStochastic","stochastic",0,50,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2
66,"CyclostationaryStochastic","stochastic",0.1,50,2,2,2,2,2,2,2,3,2,2,2,6,2,2,2,2,2,2,2,2
67,"CyclostationaryStochastic","stochastic",0.2,50,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
68,"CyclostationaryStochastic","stochastic",0.3,50,2,2,2,2,2,6,2,2,2,2,2,6,2,2,2,2,2,2,3,2
69,"CyclostationaryStochastic","stochastic",0,75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2
70,"CyclostationaryStochastic","stochastic",0.1,75,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
71,"CyclostationaryStochastic","stochastic",0.2,75,3,2,2,2,3,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2
72,"CyclostationaryStochastic","stochastic",0.3,75,3,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2
73,"CyclostationaryStochastic","stochastic",0,100,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2
74,"CyclostationaryStochastic","stochastic",0.1,100,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2,6
75,"CyclostationaryStochastic","stochastic",0.2,100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
76,"CyclostationaryStochastic","stochastic",0.3,100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5
77,"CyclostationaryStochastic","stochastic",0,250,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
78,"CyclostationaryStochastic","stochastic",0.1,250,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
79,"CyclostationaryStochastic","stochastic",0.2,250,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
80,"CyclostationaryStochastic","stochastic",0.3,250,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
81,"HenonPeriodic","periodic",0.01,25,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
82,"HenonPeriodic","periodic",0.1,25,1,1,1,1,1,3,3,3,4,3,1,5,5,1,4,1,1,3,1,2
83,"HenonPeriodic","periodic",0.2,25,1,1,1,3,1,1,1,3,2,3,2,1,2,4,1,5,5,3,2,1
84,"HenonPeriodic","periodic",0.3,25,1,1,1,1,2,2,4,1,1,1,1,1,1,1,1,5,1,1,1,1
85,"HenonPeriodic","periodic",0.01,50,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
86,"HenonPeriodic","periodic",0.1,50,5,2,4,5,2,3,5,3,3,1,4,5,1,4,4,4,4,4,4,2
87,"HenonPeriodic","periodic",0.2,50,1,2,4,2,3,6,2,2,4,4,2,1,2,4,2,2,2,3,2,3
88,"HenonPeriodic","periodic",0.3,50,1,2,4,1,1,1,3,6,2,2,1,2,2,2,4,5,2,1,1,1
89,"HenonPeriodic","periodic",0.01,75,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
90,"HenonPeriodic","periodic",0.1,75,2,4,2,4,4,5,2,4,2,5,2,4,2,4,2,2,4,4,5,2
91,"HenonPeriodic","periodic",0.2,75,5,6,4,5,3,3,1,3,4,4,2,5,2,5,6,2,4,6,6,4
92,"HenonPeriodic","periodic",0.3,75,1,3,1,3,3,2,2,3,2,4,1,3,6,4,3,1,4,3,1,3
93,"HenonPeriodic","periodic",0.01,100,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
94,"HenonPeriodic","periodic",0.1,100,2,2,2,4,4,5,4,2,6,2,4,2,4,2,4,3,2,4,6,5
95,"HenonPeriodic","periodic",0.2,100,3,2,6,2,4,3,2,5,5,6,6,4,2,1,6,3,4,6,4,6
96,"HenonPeriodic","periodic",0.3,100,2,2,2,5,5,2,1,3,5,2,3,3,2,3,3,5,4,6,2,4
97,"HenonPeriodic","periodic",0.01,250,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
98,"HenonPeriodic","periodic",0.1,250,4,5,6,5,5,4,2,4,5,4,4,4,4,4,4,4,5,4,6,5
99,"HenonPeriodic","periodic",0.2,250,6,4,6,4,4,5,5,5,4,4,4,5,4,5,4,5,6,5,3,5
100,"HenonPeriodic","periodic",0.3,250,6,6,6,5,2,4,4,6,5,4,5,2,6,3,6,6,3,5,3,4
101,"HostParParChaotic","chaotic",0.01,25,4,4,3,2,3,3,4,2,3,4,3,2,3,2,2,3,3,3,4,2
102,"HostParParChaotic","chaotic",0.1,25,2,4,5,3,3,3,2,2,5,3,3,4,4,4,5,2,4,2,3,4
103,"HostParParChaotic","chaotic",0.2,25,4,5,3,3,5,4,5,2,4,3,3,5,2,2,3,3,2,2,5,2
104,"HostParParChaotic","chaotic",0.3,25,5,2,1,4,4,3,5,3,3,5,1,2,4,1,2,5,2,2,2,4
105,"HostParParChaotic","chaotic",0.01,50,2,4,5,2,4,2,4,4,4,2,2,4,4,4,4,4,2,6,4,2
106,"HostParParChaotic","chaotic",0.1,50,4,5,3,5,2,4,3,4,3,2,3,4,2,4,6,2,3,3,5,2
107,"HostParParChaotic","chaotic",0.2,50,2,2,3,3,5,4,4,2,4,2,3,5,5,6,2,4,2,2,4,3
108,"HostParParChaotic","chaotic",0.3,50,4,2,5,3,2,2,3,3,3,4,6,2,6,4,5,2,5,5,2,3
109,"HostParParChaotic","chaotic",0.01,75,4,4,4,2,5,5,2,3,5,4,2,4,4,4,4,4,2,4,4,4
110,"HostParParChaotic","chaotic",0.1,75,4,4,3,5,6,2,3,2,3,2,4,4,4,4,3,6,3,3,3,3
111,"HostParParChaotic","chaotic",0.2,75,3,6,4,4,6,2,2,5,4,4,4,3,5,6,4,2,3,6,2,3
112,"HostParParChaotic","chaotic",0.3,75,4,4,4,4,5,3,6,3,2,5,5,4,3,5,5,3,2,3,2,3
113,"HostParParChaotic","chaotic",0.01,100,4,4,4,2,2,4,4,4,4,4,4,2,4,4,4,4,4,5,4,2
114,"HostParParChaotic","chaotic",0.1,100,4,3,3,2,4,4,4,4,5,3,5,4,4,3,4,5,5,3,3,3
115,"HostParParChaotic","chaotic",0.2,100,4,4,6,5,3,4,4,4,2,3,3,5,5,3,3,3,5,5,5,5
116,"HostParParChaotic","chaotic",0.3,100,6,4,2,3,3,2,6,4,4,4,2,3,3,6,6,3,2,4,5,3
117,"HostParParChaotic","chaotic",0.01,250,2,4,4,2,2,2,2,2,2,2,2,4,2,2,2,4,2,5,4,2
118,"HostParParChaotic","chaotic",0.1,250,4,5,4,2,3,4,4,4,3,4,5,4,5,4,3,4,3,4,3,4
119,"HostParParChaotic","chaotic",0.2,250,5,5,3,4,3,3,3,3,4,4,5,4,3,3,3,4,4,6,4,3
120,"HostParParChaotic","chaotic",0.3,250,2,6,3,6,4,6,4,4,3,4,3,6,3,4,6,4,3,3,5,5
121,"HostParParPeriodic","periodic",0.01,25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
122,"HostParParPeriodic","periodic",0.1,25,3,2,2,4,2,5,4,4,3,2,2,4,3,5,2,4,2,3,4,2
123,"HostParParPeriodic","periodic",0.2,25,4,2,3,5,3,5,3,5,5,4,5,2,5,5,3,4,2,2,2,5
124,"HostParParPeriodic","periodic",0.3,25,3,3,2,3,5,2,2,3,5,2,2,5,3,5,3,3,5,4,2,2
125,"HostParParPeriodic","periodic",0.01,50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
126,"HostParParPeriodic","periodic",0.1,50,4,5,5,2,5,6,4,4,2,2,2,5,5,4,6,2,2,4,4,5
127,"HostParParPeriodic","periodic",0.2,50,2,3,2,2,3,5,4,3,5,4,6,1,4,6,2,2,4,4,4,5
128,"HostParParPeriodic","periodic",0.3,50,3,2,2,2,2,5,2,5,2,2,2,3,2,3,3,3,3,3,2,2
129,"HostParParPeriodic","periodic",0.01,75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
130,"HostParParPeriodic","periodic",0.1,75,4,6,5,5,5,4,3,3,1,6,2,1,6,6,2,6,6,3,3,5
131,"HostParParPeriodic","periodic",0.2,75,4,3,6,3,2,2,3,2,3,3,2,2,2,3,3,4,3,2,3,3
132,"HostParParPeriodic","periodic",0.3,75,2,5,3,2,2,5,2,3,2,4,5,6,6,3,3,5,4,3,4,2
133,"HostParParPeriodic","periodic",0.01,100,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
134,"HostParParPeriodic","periodic",0.1,100,2,5,6,4,2,6,6,3,4,6,6,2,4,6,3,6,4,6,6,4
135,"HostParParPeriodic","periodic",0.2,100,4,4,2,3,2,4,2,5,2,4,4,6,3,3,6,4,4,4,2,6
136,"HostParParPeriodic","periodic",0.3,100,2,2,2,2,4,4,4,3,2,4,2,5,5,5,3,3,3,5,4,6
137,"HostParParPeriodic","periodic",0.01,250,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
138,"HostParParPeriodic","periodic",0.1,250,5,4,3,5,3,5,6,6,4,5,6,6,6,2,5,5,6,6,6,5
139,"HostParParPeriodic","periodic",0.2,250,3,3,5,2,3,3,2,2,2,5,4,4,6,3,3,2,2,3,3,3
