"ID","Model","Classification","ObsNoise","ProcessNoise","TSlength","Sim.1","Sim.2","Sim.3","Sim.4","Sim.5","Sim.6","Sim.7","Sim.8","Sim.9","Sim.10","Sim.11","Sim.12","Sim.13","Sim.14","Sim.15","Sim.16","Sim.17","Sim.18","Sim.19","Sim.20","Sim.21","Sim.22","Sim.23","Sim.24","Sim.25","Sim.26","Sim.27","Sim.28","Sim.29","Sim.30","Sim.31","Sim.32","Sim.33","Sim.34","Sim.35","Sim.36","Sim.37","Sim.38","Sim.39","Sim.40","Sim.41","Sim.42","Sim.43","Sim.44","Sim.45","Sim.46","Sim.47","Sim.48","Sim.49","Sim.50","Sim.51","Sim.52","Sim.53","Sim.54","Sim.55","Sim.56","Sim.57","Sim.58","Sim.59","Sim.60","Sim.61","Sim.62","Sim.63","Sim.64","Sim.65","Sim.66","Sim.67","Sim.68","Sim.69","Sim.70","Sim.71","Sim.72","Sim.73","Sim.74","Sim.75","Sim.76","Sim.77","Sim.78","Sim.79","Sim.80","Sim.81","Sim.82","Sim.83","Sim.84","Sim.85","Sim.86","Sim.87","Sim.88","Sim.89","Sim.90","Sim.91","Sim.92","Sim.93","Sim.94","Sim.95","Sim.96","Sim.97","Sim.98","Sim.99","Sim.100"
1,"SeasonalPredatorPrey","periodic",0.01,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"SeasonalPredatorPrey","periodic",0.01,0.05,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,"SeasonalPredatorPrey","periodic",0.01,0.1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,"SeasonalPredatorPrey","periodic",0.01,0.15,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,"SeasonalPredatorPrey","periodic",0.1,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"SeasonalPredatorPrey","periodic",0.1,0.05,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,"SeasonalPredatorPrey","periodic",0.1,0.1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"SeasonalPredatorPrey","periodic",0.1,0.15,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,"SeasonalPredatorPrey","periodic",0.2,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,"SeasonalPredatorPrey","periodic",0.2,0.05,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,"SeasonalPredatorPrey","periodic",0.2,0.1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,"SeasonalPredatorPrey","periodic",0.2,0.15,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,"SeasonalPredatorPrey","periodic",0.3,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,"SeasonalPredatorPrey","periodic",0.3,0.05,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,"SeasonalPredatorPrey","periodic",0.3,0.1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,"SeasonalPredatorPrey","periodic",0.3,0.15,100,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,1,1,1
17,"SeasonalPredatorPrey","chaotic",0.01,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,"SeasonalPredatorPrey","chaotic",0.01,0.05,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,"SeasonalPredatorPrey","chaotic",0.01,0.1,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,"SeasonalPredatorPrey","chaotic",0.01,0.15,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,"SeasonalPredatorPrey","chaotic",0.1,0,100,1,2,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,2,1,2,1,1,1
22,"SeasonalPredatorPrey","chaotic",0.1,0.05,100,1,1,1,2,1,2,1,1,1,2,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2
23,"SeasonalPredatorPrey","chaotic",0.1,0.1,100,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,2,1,1
24,"SeasonalPredatorPrey","chaotic",0.1,0.15,100,1,1,2,2,1,1,1,2,1,1,1,1,1,3,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1
25,"SeasonalPredatorPrey","chaotic",0.2,0,100,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,3,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1
26,"SeasonalPredatorPrey","chaotic",0.2,0.05,100,2,2,1,1,3,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,4,1,1,1,1,1,2,2,2,1,1,2,2,2,1
27,"SeasonalPredatorPrey","chaotic",0.2,0.1,100,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,1,1,1,2,1,2,1,2,2,1,2,2,1,2,1,2,1,1,2,1,1,2,2,1,1,1,1,2
28,"SeasonalPredatorPrey","chaotic",0.2,0.15,100,1,1,1,2,2,3,1,1,1,2,3,2,2,1,2,1,1,1,1,1,3,2,1,1,1,2,1,1,3,1,1,2,3,1,1,1,2,1,1,4,1,1,1,2,2,1,1,2,1,1,1,2,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,3,1,2,3,3,2,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,4,1
29,"SeasonalPredatorPrey","chaotic",0.3,0,100,4,3,2,1,5,2,3,4,2,2,1,2,1,2,2,1,1,3,2,1,1,3,1,2,2,3,2,2,3,1,3,3,2,2,1,1,1,2,3,5,2,1,4,1,2,2,1,2,2,3,3,2,1,2,1,2,3,2,1,2,2,1,3,2,2,3,2,3,2,1,2,2,2,1,2,2,1,2,2,5,2,2,1,3,2,4,1,3,1,2,2,1,2,4,1,1,2,2,2,2
30,"SeasonalPredatorPrey","chaotic",0.3,0.05,100,2,2,3,2,1,2,1,5,1,2,2,2,1,1,2,1,1,2,3,3,2,1,2,1,1,2,2,1,1,1,2,1,1,4,2,1,3,2,2,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,3,2,2,5,2,4,1,1,1,1,2,2,1,2,4,2,2,2,2,2,2,3,5,5,1,1,1,2,2,2,1,2,3,2,3,3,1,2,2,2,4,1,2,2,3,2
31,"SeasonalPredatorPrey","chaotic",0.3,0.1,100,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,2,2,3,1,1,2,1,2,2,2,1,1,1,2,2,2,3,2,3,2,2,2,1,1,1,2,1,1,2,1,1,3,2,3,5,3,2,3,2,2,2,4,4,1,1,2,2,1,2,1,2,2,3,1,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1
32,"SeasonalPredatorPrey","chaotic",0.3,0.15,100,2,1,2,1,2,1,1,1,3,1,1,4,1,2,2,2,2,2,1,2,2,2,2,1,4,1,2,1,2,2,2,2,1,2,3,1,1,2,2,1,1,2,2,2,1,2,1,1,1,2,2,1,2,1,2,1,2,5,1,3,1,3,2,2,1,3,1,4,3,2,1,2,2,3,2,1,4,1,2,1,1,1,2,1,2,1,2,1,1,3,2,2,1,2,2,2,2,2,2,1
33,"LPA","periodic",0.01,0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,"LPA","periodic",0.01,0.05,100,1,3,5,3,1,1,1,1,1,1,1,2,3,1,4,1,1,1,3,1,3,5,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1
35,"LPA","periodic",0.01,0.1,100,3,1,1,5,1,4,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,2,1,6,3,6,1,1,1,3,3,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,3,1,1,1,3,1,3,3,1,3,1,1,1,1,1,1,3,1,1,3,5,3,1,1,1,3,1,1,3,1,3,1,1,1
36,"LPA","periodic",0.01,0.15,100,1,1,1,3,3,3,4,2,1,1,3,1,1,3,3,2,1,1,1,3,3,4,1,3,3,5,4,1,1,3,6,1,4,3,3,3,4,2,3,3,3,1,5,3,2,1,2,1,3,1,3,3,1,5,5,1,2,3,2,2,3,1,4,1,3,3,6,2,3,1,3,2,2,3,3,3,3,5,3,3,4,1,1,4,1,2,3,3,1,1,1,1,1,1,2,1,2,4,3,2
37,"LPA","periodic",0.1,0,100,1,1,1,1,1,4,1,1,1,3,4,1,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,5,1,1,1,1,1,5,1,2,1,5,1,1,1,3,5,6,1,1,1,1,1,1,1,1,2,6,1,1,1,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,1,1,6,5,2,1,1,1,1,2,6,1,6,5,2,2,2,1,1,1,1,1,1,1
38,"LPA","periodic",0.1,0.05,100,1,3,1,1,1,2,3,3,2,3,1,3,2,2,1,1,1,2,2,1,1,1,1,1,3,2,1,4,2,2,1,1,3,1,1,3,1,1,1,1,3,2,1,4,1,1,1,1,1,5,3,1,3,1,1,1,1,1,3,1,1,3,1,1,6,1,1,3,1,2,1,5,5,2,1,1,3,1,5,1,1,1,1,1,1,2,6,3,1,3,1,1,1,1,1,4,2,5,1,1
39,"LPA","periodic",0.1,0.1,100,1,1,1,3,3,3,6,1,3,3,2,1,1,3,1,4,1,2,1,1,1,1,4,3,3,4,1,1,3,1,1,1,2,3,5,3,2,1,4,1,1,1,1,4,3,1,3,5,2,3,1,1,3,1,3,1,1,3,1,1,1,3,1,3,1,5,3,3,2,1,3,3,2,1,3,1,2,1,1,2,5,1,2,3,2,3,3,1,3,3,1,1,1,3,1,1,4,2,1,1
40,"LPA","periodic",0.1,0.15,100,5,3,1,3,3,1,2,5,1,4,5,1,2,1,3,3,2,2,3,6,1,2,3,2,1,4,1,6,3,3,1,1,3,5,3,1,1,6,5,3,2,1,2,2,3,2,1,1,3,4,4,1,1,2,3,6,1,1,2,1,5,3,6,1,1,1,5,5,6,5,2,6,1,6,1,1,5,1,1,2,1,3,4,2,1,1,2,3,1,5,5,1,1,3,4,3,5,1,1,3
41,"LPA","periodic",0.2,0,100,6,3,6,1,2,2,2,1,3,2,4,4,3,3,3,4,6,1,1,2,3,2,5,1,6,3,1,5,4,5,3,3,2,1,1,1,5,6,3,3,1,5,1,1,3,6,1,3,6,3,3,4,2,6,2,1,6,2,2,5,1,3,5,1,2,1,4,1,1,2,5,4,6,1,5,1,2,2,4,1,1,4,4,5,2,4,2,6,2,1,1,5,1,5,2,2,4,2,2,3
42,"LPA","periodic",0.2,0.05,100,5,3,5,6,6,5,6,5,5,2,4,1,1,1,2,4,5,6,1,1,3,5,1,3,6,1,1,4,3,2,1,3,5,3,3,1,2,2,1,1,2,4,1,3,1,3,2,3,1,3,3,1,5,5,1,1,1,1,1,6,4,3,6,3,3,5,1,2,4,1,1,2,4,3,2,1,5,1,3,1,1,4,5,6,1,2,1,4,2,1,1,2,4,1,1,3,3,2,1,1
43,"LPA","periodic",0.2,0.1,100,1,1,3,4,5,2,6,6,1,2,1,6,4,5,2,6,3,1,4,5,2,1,1,1,1,1,1,5,5,2,3,5,4,6,3,4,1,2,1,4,2,2,1,3,4,3,3,1,6,1,4,2,3,6,5,4,5,6,1,5,5,3,1,2,2,6,4,2,6,2,1,3,4,3,3,2,1,2,4,1,2,5,1,5,3,1,4,1,1,1,6,5,2,1,1,4,2,4,5,4
44,"LPA","periodic",0.2,0.15,100,4,1,5,1,1,5,2,3,2,1,1,1,5,5,4,4,5,2,4,5,4,6,1,3,1,4,1,2,1,1,1,3,2,4,1,2,1,6,4,1,3,2,1,2,4,2,3,4,1,1,4,5,1,1,3,6,3,4,3,3,4,3,1,3,3,4,5,5,3,1,1,1,3,2,3,3,6,2,5,1,1,2,1,2,1,1,4,6,1,2,6,2,5,2,1,4,2,4,4,5
